insee;2011;2017;surf_ha
58009;Autre US;CS2.2.1.1;0.774
58009;CS2.2.1.1;CS2.2.1.2;0.469
58009;CS2.2.1.1;CS1.1.1.1;0.021
58009;CS2.2.1.2;Autre US;0.1
58009;CS2.2.1.4;CS2.2.1.1;1.128
58013;Autre US;CS2.2.1.4;1.632
58013;Autre US;CS2.2.1.1;4.211
58013;CS2.2.1.1;CS2.2.1.4;18.557
58013;CS2.2.1.1;Autre US;0.397
58013;CS2.2.1.4;CS2.2.1.1;7.011
58013;CS2.2.1.4;CS2.2.1.4;0.834
58013;CS2.2.1.4;Autre US;0.375
58014;Autre US;CS2.2.1.1;0.148
58014;CS1.1.2.1;CS1.1.1.2;0.459
58014;CS1.1.2.1;CS1.1.1.1;0.113
58014;CS2.2.1.1;CS2.2.1.4;2.538
58014;CS2.2.1.2;CS2.2.1.1;0.367
58014;CS2.2.1.4;CS2.2.1.1;1.105
58018;CS1.1.1.1;CS1.1.2.1;0.076
58018;CS2.2.1.1;CS2.2.1.4;4.225
58018;CS2.2.1.1;CS2.2.1.2;0.483
58018;CS2.2.1.1;CS1.1.1.1;0.022
58018;CS2.2.1.4;CS2.2.1.1;11.651
58027;Autre US;CS2.2.1.1;0.824
58027;CS2.2.1.1;Autre US;0.414
58027;CS2.2.1.1;CS2.2.1.2;0.622
58027;CS2.2.1.1;CS1.1.2.1;0.376
58027;CS2.2.1.1;CS1.1.1.1;0.203
58027;CS2.2.1.4;CS2.2.1.1;0.228
58042;Autre US;CS2.2.1.4;0.119
58042;CS2.2.1.1;Autre US;0.061
58042;CS2.2.1.1;CS2.2.1.4;0.239
58042;CS2.2.1.1;CS1.1.1.1;0.044
58045;CS1.1.2.1;CS2.2.1.2;0.181
58045;CS1.1.2.1;CS2.2.1.1;0.127
58045;CS2.2.1.1;CS1.1.1.1;0.088
58045;CS2.2.1.2;CS2.2.1.1;0.252
58051;Autre US;CS2.2.1.1;0.222
58051;Autre US;CS2.2.1.4;0.187
58051;CS1.1.1.1;CS1.1.2.1;0.067
58051;CS2.2.1.1;CS2.2.1.4;16.506
58051;CS2.2.1.1;Autre US;6.9
58051;CS2.2.1.1;CS2.2.1.2;0.164
58051;CS2.2.1.2;CS1.1.2.1;0.083
58051;CS2.2.1.2;CS1.1.1.1;0.038
58051;CS2.2.1.4;CS2.2.1.1;24.907
58056;Autre US;CS2.2.1.4;0.78
58056;Autre US;CS2.2.1.1;0.99
58056;Autre US;CS1.1.1.1;0.064
58056;Autre US;CS2.1.2;1.93
58056;CS1.1.2.1;CS2.2.1.2;0.075
58056;CS2.2.1.1;CS2.2.1.4;2.969
58056;CS2.2.1.1;Autre US;2.247
58056;CS2.2.1.4;Autre US;0.523
58056;CS2.2.1.4;CS2.2.1.2;0.144
58056;CS2.2.1.4;CS2.2.1.1;1.953
58059;Autre US;CS2.2.1.1;3.678
58059;CS1.1.1.1;CS1.1.2.1;0.077
58059;CS1.1.2.1;CS2.2.1.2;0.011
58059;CS2.2.1.1;Autre US;3.33
58059;CS2.2.1.1;CS2.2.1.4;28.195
58059;CS2.2.1.1;CS1.1.2.1;0.037
58059;CS2.2.1.1;CS2.2.1.2;0.044
58059;CS2.2.1.2;CS1.1.2.1;0.139
58059;CS2.2.1.2;CS1.1.1.1;0.058
58059;CS2.2.1.4;CS2.2.1.1;7.101
58059;CS2.2.1.4;Autre US;0.59
58059;CS2.2.1.4;CS1.1.1.1;0.115
58061;CS2.2.1.1;CS1.1.1.1;0.169
58061;CS2.2.1.1;CS1.1.2.1;0.012
58061;CS2.2.1.1;CS2.2.1.4;0.04
58061;CS2.2.1.2;CS1.1.1.1;0.018
58061;CS2.2.1.4;Autre US;0.192
58067;Autre US;CS2.2.1.1;6.496
58067;Autre US;CS2.2.1.4;3.965
58067;Autre US;CS2.2.1.2;0.117
58067;CS1.1.1.1;CS2.2.1.1;0.021
58067;CS1.1.1.1;Autre US;0.058
58067;CS1.1.2.1;CS2.2.1.2;0.138
58067;CS2.2.1.1;CS2.2.1.4;2.715
58067;CS2.2.1.1;CS1.1.1.1;0.087
58067;CS2.2.1.1;CS2.2.1.2;7.187
58067;CS2.2.1.1;Autre US;7.351
58067;CS2.2.1.4;CS2.2.1.1;4.767
58067;CS2.2.1.4;Autre US;0.093
58088;Autre US;CS2.2.1.1;2.119
58088;CS2.2.1.1;Autre US;2.255
58088;CS2.2.1.1;CS2.2.1.4;8.762
58088;CS2.2.1.1;CS1.1.1.1;0.04
58088;CS2.2.1.1;CS2.2.1.2;0.163
58088;CS2.2.1.2;CS1.1.1.1;0.052
58088;CS2.2.1.4;Autre US;0.033
58101;Autre US;CS2.2.1.1;1.622
58101;Autre US;CS2.2.1.4;0.255
